Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink
"113","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.14","0","0","2023-08-28 GMT+0200","15:58:00","0","Dividend","FIFO",,,
"114","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.12","0","0","2023-11-28 GMT+0200","17:02:00","0","Dividend","FIFO",,,
"115","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.7","0","0","2024-02-27 GMT+0200","18:07:00","0","Dividend","FIFO",,,
"116","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.54","0","0","2024-05-28 GMT+0200","19:04:00","0","Dividend","FIFO",,,
"117","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","17.17","0","0","2024-08-27 GMT+0200","20:46:00","0","Dividend","FIFO",,,
"118","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.56","0","0","2024-11-26 GMT+0200","23:04:00","0","Dividend","FIFO",,,
"119","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.61","0","0","2025-02-26 GMT+0200","19:24:00","0","Dividend","FIFO",,,
"120","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","17.28","0","0","2025-05-27 GMT+0200","21:07:00","0","Dividend","FIFO",,,
"121","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","17.56","0","0","2025-08-26 GMT+0200","21:22:00",,"Dividend","FIFO",,,
"122","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","17.27","0","0","2025-11-26 GMT+0200","22:22:00",,"Dividend","FIFO",,,
"123","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","18.23","0","0","2026-02-26 GMT+0200","22:21:00",,"Dividend","FIFO",,,

"124","USO","United States Oil Fund","United States Oil Fund","PCX","TFSA","USD",,,,,,,,,,,
"125","USO","United States Oil Fund","United States Oil Fund","PCX","TFSA","USD","35","28.54","9.95","2020-06-10 GMT+0200","06:00:00","0","Buy",,,,
"126","USO","United States Oil Fund","United States Oil Fund","PCX","TFSA","USD","27","64.58","9.95","2023-05-17 GMT+0200","20:14:00","0","Sell","FIFO",,,
"127","USO","United States Oil Fund","United States Oil Fund","PCX","TFSA","USD","0","80.07","9.95","2025-01-24 GMT+0200","21:31:00","0","Sell All","FIFO",,,

"128","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD",,,,,,,,,,,
"129","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","5","91.43","9.95","2020-06-10 GMT+0200","06:00:00","1.34218","Buy",,,,
"130","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.77","0","0","2020-09-24 GMT+0200","21:08:00",,"Dividend","FIFO",,,
"131","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.77","0","0","2020-12-17 GMT+0200","16:50:00",,"Dividend","FIFO",,,
"132","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.77","0","0","2021-03-25 GMT+0200","20:12:00",,"Dividend","FIFO",,,
"133","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.89","0","0","2021-06-24 GMT+0200","15:45:00",,"Dividend","FIFO",,,
"134","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.89","0","0","2021-09-23 GMT+0200","16:21:00",,"Dividend","FIFO",,,
"135","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.89","0","0","2021-12-16 GMT+0200","16:57:00",,"Dividend","FIFO",,,
"136","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","2.89","0","0","2022-03-24 GMT+0200","15:43:00",,"Dividend","FIFO",,,
"137","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","3.19","0","0","2022-06-23 GMT+0200","20:55:00","0","Dividend","FIFO",,,
"138","QCOM","QUALCOMM Incorporated","Qualcomm","NMS","TFSA","USD","3.19","0","0","2022-09-22 GMT+0200","06:27:00","0","Dividend","FIFO",,,
